News Article	 || 			polarity			 || 																																			"match"																												 || 																							"News Description/Content"

1				 || 			Negative			 || 			"nullLast, fall, Facebook, announced, a, preview, for, its, cloud, gaming, service, and, today, Facebook, is, updating, its, cloud, gaming, efforts, with, expanded, coverage, and, a, new, injection, of, content, from, Ubisoft, rnIni"			 || 			"Last fall, Facebook announced a preview for its cloud gaming service, and today, Facebook is updating its cloud gaming efforts with expanded coverage and a new injection of content from Ubisoft.rnIni "
307				 || 			Neutral			 || 			"nullWhen, Dalhousie, biology, instructor, Jennifer, FrailGauthieraccompanied, a, group, of, students, last, Wednesday, for, her, 10th, fossil, hunt, at, Blue, Beach, N, S, she, never, thought, she, would, be, the, one, making, a"			 || 			"When Dalhousie biology instructor Jennifer FrailGauthieraccompanied a group of students last Wednesday for her 10th fossil hunt at Blue Beach, N.S.,she never thought she would be the one making a  "
308				 || 			Positive			 || 			"nullA, Nova, Scotia, man, is, working, to, make, it, easier, for, Mikmaqto, understand, and, access, healthcare, programs, in, the, province, rnAaron, Prosper, was, recently, hired, as, theIndigenous, health, consultant, for, the"			 || 			"A Nova Scotia man is working to make it easier for Mikmaqto understand and access healthcare programs in the province.rnAaron Prosper was recently hired as theIndigenous health consultant for the "
309				 || 			Negative			 || 			"nullWhen, it, comes, to, election, timing, the, Green, Party, of, Nova, Scotiacant, get, a, break, rnIn, 2017, LeaderThomas, Trappenberg, a, Dalhousie, University, professor, had, to, begin, his, partys, campaign, from, a, dis"			 || 			"When it comes to election timing, the Green Party of Nova Scotiacant get a break.rnIn 2017, LeaderThomas Trappenberg, a Dalhousie University professor,had to begin his partys campaign from a dis "
310				 || 			Positive			 || 			"nullTORONTO, July, 20, (Reuters), Canadian, home, prices, rose, in, June, from, the, previous, month, with, widespread, gains, led, by, the, national, capital, region, of, OttawaGatineau, while, the, pace, of, annual, gains, acc"			 || 			"TORONTO, July 20 (Reuters)  Canadian home prices rose in June from the previous month, with widespread gains led by the national capital region of OttawaGatineau, while the pace of annual gains acc "
311				 || 			Positive			 || 			"nullPersimmon, sales, rose, above, prepandemic, levels, in, the, first, half, of, 2021, as, tax, cuts, and, booming, British, house, prices, continued, to, benefit, housebuilders, rnThe, UKs, largest, housebuilder, said, on, Tuesda"			 || 			"Persimmon sales rose above prepandemic levels in the first half of 2021, as tax cuts and booming British house prices continued to benefit housebuilders.rnThe UKs largest housebuilder said on Tuesda "
312				 || 			Neutral			 || 			"nullLights, blink, along, a, sinuous, race, track, which, swoops, past, a, Japanesethemed, bar, and, food, stall, into, Debenhams, Wandsworths, former, beauty, hall, rnGravity, which, already, runs, 17, leisure, sites, around, the, U"			 || 			"Lights blink along a sinuous race track which swoops past a Japanesethemed bar and food stall into Debenhams Wandsworths former beauty hall.rnGravity which already runs 17 leisure sites around the U "
313				 || 			Neutral			 || 			"nullHALIFAX, rnHealth, officials, in, Nova, Scotia, are, reporting, one, new, case, of, COVID19, on, Wednesday, rnThe, case, is, in, the, provinces, Central, zone, and, is, related, to, travel, rnSix, previously, reported, cases"			 || 			"HALIFAX  rnHealth officials in Nova Scotia are reporting one new case of COVID19 on Wednesday.rnThe case is in the provinces Central zone and is related to travel.rnSix previously reported cases  "
314				 || 			Negative			 || 			"nullHALIFAX, rnHere, are, a, few, quick, facts, about, the, three, Nova, Scotia, party, leaders, ahead, of, the, Aug, 17, provincial, election, rnAt, dissolution, the, Liberals, had, 24, seats, in, the, legislature, while, the, Pro"			 || 			"HALIFAX  rnHere are a few quick facts about the three Nova Scotia party leaders ahead of the Aug. 17 provincial election.rnAt dissolution, the Liberals had 24 seats in the legislature while the Pro "
315				 || 			Neutral			 || 			"nullHALIFAX, rnNova, Scotia, is, reporting, one, new, case, of, COVID19, on, Tuesday, along, with, five, recoveries, as, the, active, number, of, cases, in, the, province, drops, to, 31, rnThe, new, case, was, identified, in, the, W"			 || 			"HALIFAX  rnNova Scotia is reporting one new case of COVID19 on Tuesday, along with five recoveries, as the active number of cases in the province drops to 31.rnThe new case was identified in the W "
316				 || 			Negative			 || 			"nullRankin, was, put, on, the, defensive, earlier, this, month, after, he, revealed, that, as, a, young, man, he, had, been, convicted, of, drunk, driving, in, 2003, and, was, charged, again, in, 2005, though, he, was, cleared, in, the, la"			 || 			"Rankin was put on the defensive earlier this month after he revealed that as a young man he had been convicted of drunk driving in 2003, and was charged again in 2005, though he was cleared in the la "
317				 || 			Positive			 || 			"nullThe, 2021, NHL, Draft, will, be, held, July, 2324, NHL, com, is, counting, down, to, the, draft, with, indepth, profiles, on, top, prospects, and, other, features, Today, a, look, at, the, top, eligible, left, wings, NHL, coms, f"			 || 			"The 2021 NHL Draft will be held July 2324. NHL.com is counting down to the draft with indepth profiles on top prospects and other features. Today, a look at the top eligible left wings. NHL.coms f "
318				 || 			Negative			 || 			"nullOTTAWA, rnThe, countrys, headline, inflation, barometer, registered, a, yearoveryear, increase, of, 3, 1, per, cent, last, month, as, the, pace, of, price, growth, slowed, in, June, compared, with, the, decadehigh, pace, on"			 || 			"OTTAWA  rnThe countrys headline inflation barometer registered a yearoveryear increase of 3.1 per cent last month as the pace of price growth slowed in June compared with the decadehigh pace on "
319				 || 			Positive			 || 			"nullHALIFAX, rnNew, Brunswick, is, reporting, no, new, cases, of, COVID19, on, Tuesday, along, with, one, recovery, as, the, active, number, of, cases, in, the, province, drops, to, seven, rnNew, Brunswick, has, had, 2, 346, cumula"			 || 			"HALIFAX  rnNew Brunswick is reporting no new cases of COVID19 on Tuesday, along with one recovery, as the active number of cases in the province drops to seven.rnNew Brunswick has had 2,346 cumula "
320				 || 			Neutral			 || 			"nullTOKYO, What, Canada, Did, on, Sunday, at, the, 2020, Tokyo, summer, Olympic, games:rnBADMINTONrnWomens, singles, Michelle, Li, Markham, Ont, (10), def, Nikte, Sotomayor, of, Guatemala, 20, (218, 219), to, open, t"			 || 			"TOKYO  What Canada Did on Sunday at the 2020 Tokyo summer Olympic games:rnBADMINTONrnWomens singles  Michelle Li, Markham, Ont. (10), def. Nikte Sotomayor of Guatemala, 20 (218, 219) to open t "
321				 || 			Negative			 || 			"nullSergei, Grits/Associated, PressrnThe, 2021, NHL, draft, is, upon, us, with, many, teams, looking, for, franchisealtering, players, rnThe, Buffalo, Sabres, are, on, the, board, first, after, a, rough, 202021, season, saw, them"			 || 			"Sergei Grits/Associated PressrnThe 2021 NHL draft is upon us, with many teams looking for franchisealtering players.rnThe Buffalo Sabres are on the board first after a rough 202021 season saw them  "
322				 || 			Negative			 || 			"nullJournalists, stand, next, to, a, yellow, police, cordon, near, the, residence, of, Haitis, President, Jovenel, Moise, after, he, was, shot, dead, by, unidentified, attackers, in, PortauPrince, Haiti, July, 7, 2021, REUTERS"			 || 			"Journalists stand next to a yellow police cordon near the residence of Haitis President Jovenel Moise after he was shot dead by unidentified attackers, in PortauPrince, Haiti July 7, 2021. REUTERS "
323				 || 			Neutral			 || 			"nullWASHINGTON, (AP), A, Canadian, geologist, may, have, found, the, earliest, fossil, record, of, animal, life, on, Earth, according, to, a, report, published, Wednesday, in, the, journal, Nature, rnAround, a, billion, years, ago, a"			 || 			"WASHINGTON (AP) A Canadian geologist may have found the earliest fossil record of animal life on Earth, according to a report published Wednesday in the journal Nature.rnAround a billion years ago, a "
324				 || 			Negative			 || 			"nullAfter, a, failed, arson, attack, on, an, onreserve, Anglican, church, Gitwangak, First, Nation, said, the, church, had, no, connection, to, residential, schools, Vandals, returned, to, burn, it, down, anyway, rnTristin, Hoppe"			 || 			"After a failed arson attack on an onreserve Anglican church, Gitwangak First Nation said the church had no connection to residential schools. Vandals returned to burn it down anyway. rnTristin Hoppe "
325				 || 			Neutral			 || 			"nullTORONTO, Ontario, youth, aged, 12, to, 17, can, move, up, their, second, COVID19, vaccine, doses, next, week, as, the, province, eyes, the, return, to, classrooms, in, September, rnYouth, can, book, appointments, through, the, pr"			 || 			"TORONTO  Ontario youth aged 12 to 17 can move up their second COVID19 vaccine doses next week as the province eyes the return to classrooms in September.rnYouth can book appointments through the pr "
326				 || 			Negative			 || 			"nullProvince, reports, 3, deaths, as, cases, dip, back, below, 100, Montreal, is, lagging, on, first, vaccine, doses, for, 12, to, 17yearolds, rnAndy, RigarnMontrealers, continue, to, wear, masks, in, Montreal, on, Wednesday, Jul"			 || 			"Province reports 3 deaths as cases dip back below 100. Montreal is lagging on first vaccine doses for 12 to 17yearolds. rnAndy RigarnMontrealers continue to wear masks in Montreal on Wednesday Jul "
327				 || 			Positive			 || 			"nullHow, to, Build, a, Life, is, a, weekly, column, by, Arthur, Brooks, tackling, questions, of, meaning, and, happiness, The, 2021, Academy, Award, for, Best, Picturecovering, the, prior, year, when, many, of, us, were, stuck, at, h"			 || 			"How to Build a Life is a weekly column by Arthur Brooks, tackling questions of meaning and happiness.The 2021 Academy Award for Best Picturecovering the prior year, when many of us were stuck at h "
328				 || 			Positive			 || 			"nullHALIFAX, rnNew, Brunswick, is, reporting, two, new, cases, of, COVID19, on, Wednesday, along, with, one, recovery, as, the, number, of, active, cases, in, the, province, rises, to, eight, rnBoth, new, cases, were, identified"			 || 			"HALIFAX  rnNew Brunswick is reporting two new cases of COVID19 on Wednesday, along with one recovery, as the number of active cases in the province rises to eight.rnBoth new cases were identified  "
329				 || 			Positive			 || 			"nullIt, seems, like, we, just, finished, discussing, a, 2020, fullyear, revenue, blowout, for, many, of, the, top, U, S, cannabis, operators, such, as, Green, Thumb, Industries, Curaleaf, and, Cresco, Labs, Here, we, are, already"			 || 			"It seems like we just finished discussing a 2020 fullyear revenue blowout for many of the top U.S. cannabis operators, such as Green Thumb Industries,Curaleaf, and Cresco Labs.Here we are already  "
330				 || 			Positive			 || 			"nullMONCTON, NB, July, 27, 2021, /CNW/, From, the, beginning, of, the, COVID19, pandemic, the, Government, of, Canada, made, a, commitment, to, protect, the, health, and, safety, of, all, Canadians, That, is, why, the, governmen"			 || 			"MONCTON, NB, July 27, 2021 /CNW/  From the beginning of the COVID19 pandemic, the Government of Canada made a commitment to protect the health and safety of all Canadians. That is why the governmen "
331				 || 			Neutral			 || 			"nullMay, 14, 2021, Dallas, Texas, USA, Toronto, Raptors, guard, Jalen, Harris, (2), dribbles, the, ball, past, Dallas, Mavericks, guard, Josh, Richardson, (0), during, the, third, quarter, at, American, Airlines, Center, Mandat"			 || 			"May 14, 2021 Dallas, Texas, USA Toronto Raptors guard Jalen Harris (2) dribbles the ball past Dallas Mavericks guard Josh Richardson (0) during the third quarter at American Airlines Center. Mandat "
332				 || 			Negative			 || 			"nullBy, Field, Level, MediarnAlex, Verdugo, crushed, a, goahead, tworun, home, run, in, the, eighth, inning, to, carry, the, Boston, Red, Sox, past, the, visiting, Toronto, Blue, Jays, 54, in, the, opener, of, a, fourgame, series, Mon"			 || 			"By Field Level MediarnAlex Verdugo crushed a goahead tworun home run in the eighth inning to carry the Boston Red Sox past the visiting Toronto Blue Jays 54 in the opener of a fourgame series Mon "
333				 || 			Neutral			 || 			"nullA, TorontoDominion, Bank, (TD), sign, is, seen, outside, of, a, branch, in, Ottawa, Ontario, Canada, May, 26, 2016, REUTERS/Chris, Wattie/File, PhotoTORONTO, July, 15, (Reuters), TorontoDominion, Bank, (TD, TO), is, ha"			 || 			"A TorontoDominion Bank (TD) sign is seen outside of a branch in Ottawa, Ontario, Canada, May 26, 2016. REUTERS/Chris Wattie/File PhotoTORONTO, July 15 (Reuters)  TorontoDominion Bank (TD.TO) is ha "
334				 || 			Positive			 || 			"null(Adds, dealer, quotes, and, details, throughout, updates, prices)rn, Loonie, trades, in, a, range, of, 1, 2529, to, 1, 2594rn, Price, of, U, S, oil, settles, 2, 3, higherrn, Canadian, bond, yields, ease, across, a, flatter, c"			 || 			"(Adds dealer quotes and details throughout updates prices)rn  Loonie trades in a range of 1.2529 to 1.2594rn  Price of U.S. oil settles 2.3 higherrn  Canadian bond yields ease across a flatter c "
335				 || 			Positive			 || 			"nullCAIRO, July, 27, (Reuters), Egypt, has, signed, four, contracts, with, Barrick, Gold, (ABX, TO), for, gold, exploration, in, the, countrys, Eastern, Desert, the, ministry, of, petroleum, and, mineral, resources, said, on, Tue"			 || 			"CAIRO, July 27 (Reuters)  Egypt has signed four contracts with Barrick Gold (ABX.TO) for gold exploration in the countrys Eastern Desert, the ministry of petroleum and mineral resources said on Tue "
336				 || 			Neutral			 || 			"null(Adds, comments, from, investor, day, share, price)rnTORONTO, June, 29, (Reuters), Manulife, Financial, Corp, has, raised, the, proportion, of, core, profit, it, aims, to, earn, from, its, fastestgrowing, businesses, incl"			 || 			"(Adds comments from investor day, share price)rnTORONTO, June 29 (Reuters)  Manulife Financial Corp has raised the proportion of core profit it aims to earn from its fastestgrowing businesses, incl "
337				 || 			Negative			 || 			"nullAt, this, very, moment, a, ransomware, assault, is, hitting, hundreds, of, businesses, across, the, US, The, incident, appears, to, be, the, result, of, a, socalled, supply, chain, attack, hackers, were, able, to, push, malware"			 || 			"At this very moment, a ransomware assault is hitting hundreds of businesses across the US. The incident appears to be the result of a socalled supply chain attack hackers were able to push malware  "
338				 || 			Negative			 || 			"nullLast, week, the, US, Naval, Research, Laboratory, held, a, very, 2021, press, conference, in, which, scientists, reported, a, very, 2021, outbreak, of, smoke, thunderclouds, Catastrophic, wildfires, exacerbated, by, catastr"			 || 			"Last week, the US Naval Research Laboratory held a very 2021 press conference, in which scientists reported a very 2021 outbreak of smoke thunderclouds. Catastrophic wildfires, exacerbated by catastr "
339				 || 			Negative			 || 			"nullIn, 2020, and, 2021, we, all, became, wellacquainted, with, nasal, swabs, But, small, sticks, we, stuck, up, our, noses, it, turns, out, were, harder, to, come, by, than, anyone, could, have, predicted, A, May, 2020, survey, of, 1"			 || 			"In 2020 and 2021, we all became wellacquainted with nasal swabs. But small sticks we stuck up our noses, it turns out, were harder to come by than anyone could have predicted. A May 2020 survey of 1 "
340				 || 			Negative			 || 			"nullSatellite, images, show, that, smoke, has, traveled, thousands, of, miles, from, fires, burning, in, the, Pacific, Northwest, and, California, to, reach, the, skies, of, Greenland, Its, expected, to, keep, moving, east, and, impa"			 || 			"Satellite images show that smoke has traveled thousands of miles from fires burning in the Pacific Northwest and California to reach the skies of Greenland. Its expected to keep moving east, and impa "
341				 || 			Positive			 || 			"nullContrary, to, the, popular, perception, that, love, typically, sparks, from, passion, a, new, study, finds, twothirds, of, romantic, relationships, begin, as, longterm, friendships, rnThough, highly, prevalent, the, friend"			 || 			"Contrary to the popular perception that love typically sparks from passion, a new study finds twothirds of romantic relationships begin as longterm friendships.rnThough highly prevalent, the friend "
342				 || 			Neutral			 || 			"nullWIREDs, Resilience, Residency, was, announced, earlier, this, year, to, provide, nonjournalists, the, opportunity, to, report, on, how, technology, and, science, are, transforming, their, own, industries, Over, 200, people, a"			 || 			"WIREDs Resilience Residency was announced earlier this year to provide nonjournalists the opportunity to report on how technology and science are transforming their own industries. Over 200 people a "
343				 || 			Neutral			 || 			"null2U, a, SaaS, platform, that, helps, nonprofits, and, colleges, run, online, universities, plans, to, acquire, all, the, assets, of, Harvard, and, MITfounded, edX, for, a, deal, north, of, 600, million, according, to, multiple"			 || 			"2U, a SaaS platform that helps nonprofits and colleges run online universities, plans to acquire all the assets of Harvard and MITfounded edX for a deal north of 600 million, according to multiple "
344				 || 			Negative			 || 			"nullThe, peculiar, elemental, makeup, of, one, star, in, the, Milky, Way, could, be, due, to, a, massive, type, of, stellar, collapse, in, the, early, universe, a, team, of, astronomers, announced, today, The, finding, could, help, astr"			 || 			"The peculiar elemental makeup of one star in the Milky Way could be due to a massive type of stellar collapse in the early universe, a team of astronomers announced today. The finding could help astr "
345				 || 			Positive			 || 			"nullVials, of, the, Sputnik, COVID19, vaccine, pass, along, a, production, line, at, a, manufacturing, facility, near, Saint, Petersburg, Russia, Credit:, Olga, Maltseva/AFP/GettyrnRussias, COVID19, vaccine, Sputnik, has, be"			 || 			"Vials of the Sputnik COVID19 vaccine pass along a production line at a manufacturing facility near Saint Petersburg, Russia.Credit: Olga Maltseva/AFP/GettyrnRussias COVID19 vaccine, Sputnik, has be "
346				 || 			Negative			 || 			"nullScarcely, a, week, into, a, provincial, campaign, that, once, appeared, to, be, his, to, lose, Nova, Scotia, Premier, Iain, Rankin, and, his, Liberal, Party, find, themselves, mired, in, controversy, after, a, young, female, candi"			 || 			"Scarcely a week into a provincial campaign that once appeared to be his to lose, Nova Scotia Premier Iain Rankin and his Liberal Party find themselves mired in controversy after a young, female candi "
347				 || 			Negative			 || 			"nullThe, government, has, issued, warnings, against, overcrowding, popular, tourist, destinations, but, that, seems, to, be, having, little, effect, on, tourists, Days, after, shocking, pictures, from, Manali, showed, crowded, st"			 || 			"The government has issued warnings against overcrowding popular tourist destinations, but that seems to be having little effect on tourists. Days after shocking pictures from Manali showed crowded st "
348				 || 			Positive			 || 			"nullulliAround, 67, lakh, tourists, visited, Himachal, Pradesh, in, less, than, a, month, starting, from, June/li/ulrnulliAs, per, the, latest, data, available, Himachal, has, 1, 357, active, coronavirus, cases/li"			 || 			"ulliAround 67 lakh tourists visited Himachal Pradesh in less than a month starting from June/li/ulrnulliAs per the latest data available, Himachal has 1,357 active coronavirus cases/li "
349				 || 			Positive			 || 			"nullFinances, are, a, significant, barrier, to, postsecondary, education, for, people, raised, in, care, (Shutterstock)rnThere, are, more, than, 50, 000, children, living, in, foster, care, in, Canada, and, the, number, continues"			 || 			"Finances are a significant barrier to postsecondary education for people raised in care. (Shutterstock)rnThere are more than 50,000 children living in foster care in Canada and the number continues  "
350				 || 			Positive			 || 			"nullPhoto:, Ivan, Diaz/UnsplashrnThe, Halifax, Examiner, is, providing, all, COVID19, coverage, for, free, Please, help, us, continue, this, coverage, by, subscribing, rnHow, well, do, COVID19, vaccines, work, in, people, with, c"			 || 			"Photo: Ivan Diaz/UnsplashrnThe Halifax Examiner is providing all COVID19 coverage for free. Please help us continue this coverage by subscribing.rnHow well do COVID19 vaccines work in people with c "
351				 || 			Neutral			 || 			"nullAfter, pictures, and, videos, of, seas, of, maskless, tourists, thronging, Himachal, Pradesh, and, Uttarakhand, went, viral, on, social, media, the, government, has, released, the, official, figures, for, the, number, of, travel"			 || 			"After pictures and videos of seas of maskless tourists thronging Himachal Pradesh and Uttarakhand went viral on social media, the government has released the official figures for the number of travel "
352				 || 			Negative			 || 			"nullMillions, of, people, in, countries, around, the, world, could, face, an, increased, risk, of, malnutrition, as, climate, change, threatens, their, local, fisheries, New, projections, examining, more, than, 800, fish, species, in"			 || 			"Millions of people in countries around the world could face an increased risk of malnutrition as climate change threatens their local fisheries.New projections examining more than 800 fish species in "
353				 || 			Negative			 || 			"nullDonning, a, bulky, jacket, with, a, motorcycle, helmet, placed, carefully, over, her, hijab, Sura, Hadad, heads, out, on, her, Honda, 500cc, street, bike, for, a, spin, around, the, newly, created, Nova, Scotia, riding, where, she, i"			 || 			"Donning a bulky jacket with a motorcycle helmet placed carefully over her hijab, Sura Hadad heads out on her Honda 500cc street bike for a spin around the newly created Nova Scotia riding where she i "
354				 || 			Neutral			 || 			"nullHALIFAX, rnFor, the, second, day, in, a, row, Nova, Scotia, is, reporting, no, new, cases, of, COVID19, in, the, province, rnThere, are, six, recoveries, bringing, the, total, number, of, cases, to, 22, rnYesterday, we, entere"			 || 			"HALIFAX  rnFor the second day in a row, Nova Scotia is reporting no new cases of COVID19 in the province.rnThere are six recoveries, bringing the total number of cases to 22.rnYesterday we entere "
355				 || 			Neutral			 || 			"nullWhen, Harry, first, met, Sally, he, asserted, men, and, women, could, not, be, friends, because, the, sex, part, always, gets, in, the, way, rnBut, new, research, suggests, roughly, twothirds, of, couples, start, out, as, friends, a"			 || 			"When Harry first met Sally, he asserted men and women could not be friends because the sex part always gets in the way.rnBut new research suggests roughly twothirds of couples start out as friends a "
356				 || 			Negative			 || 			"nullThis, article, was, translated, from, our, Spanish, edition, using, AI, technologies, Errors, may, exist, due, to, this, process, rnBillionaire, Elon, Musk, turns, 50, this, Monday, June, 28, rn, His, mother, Maye, Musk, decid"			 || 			"This article was translated from our Spanish edition using AI technologies. Errors may exist due to this process.rnBillionaire Elon Musk turns 50 this Monday, June 28.rn His mother, Maye Musk , decid "
357				 || 			Neutral			 || 			"nullGovernor, General, designate, Mary, Simon, pose, for, a, portrait, July, 6, 2021, at, the, Canadian, Museum, of, History, in, Gatineau, Quebec, rnDave, Chan/The, Globe, and, MailrnMary, Simon, representing, Inuit, in, Canada"			 || 			"Governor General designate Mary Simon pose for a portrait July 6, 2021 at the Canadian Museum of History in Gatineau, Quebec. rnDave Chan/The Globe and MailrnMary Simon,representing Inuit in Canada,  "
358				 || 			Neutral			 || 			"nullParticipating, countries, say, parts, of, the, new, agreement, will, take, effect, in, 2022, and, the, remaining, elements, will, apply, as, of, 2023, rnFrancois, Mori/The, Associated, PressrnAfter, years, of, negotiations, the"			 || 			"Participating countries say parts of the new agreement will take effect in 2022 and the remaining elements will apply as of 2023.rnFrancois Mori/The Associated PressrnAfter years of negotiations, the "
359				 || 			Neutral			 || 			"nullThe, Inuit, drum, was, among, the, many, signs, that, this, ceremony, and, this, Governor, General, would, be, different, from, the, 29, people, who, have, held, the, job, before, her, rnGovernor, General, Mary, Simon, gives, her, a"			 || 			"The Inuit drum was among the many signs that this ceremony, and this Governor General, would be different from the 29 people who have held the job before her rnGovernor General Mary Simon gives her a "
360				 || 			Neutral			 || 			"nullTORONTO, Ontario, has, asked, the, federal, government, to, ensure, Canadians, who, received, mixed, COVID19, vaccines, will, be, recognized, for, international, travel, as, border, measures, lift, rnHealth, Minister, Chris"			 || 			"TORONTO  Ontario has asked the federal government to ensure Canadians who received mixed COVID19 vaccines will be recognized for international travel as border measures lift.rnHealth Minister Chris "
361				 || 			Positive			 || 			"nullProvince, reports, 10, deaths, as, cases, dip, back, below, 100, Outdoor, high, school, proms, are, allowed, in, Quebec, as, of, today, rnAndy, RigarnQuebec, Health, Minister, Christian, Dub, right, and, Quebecs, director, o"			 || 			"Province reports 10 deaths as cases dip back below 100. Outdoor high school proms are allowed in Quebec as of today. rnAndy RigarnQuebec Health Minister Christian Dub, right, and Quebecs director o "
362				 || 			Positive			 || 			"nullWelcome, back, to, This, Week, in, Apps, the, weekly, TechCrunch, series, that, recaps, the, latest, in, mobile, OS, news, mobile, applications, and, the, overall, app, economy, rnThe, app, industry, continues, to, grow, with, a"			 || 			"Welcome back to This Week in Apps, the weekly TechCrunch series that recaps the latest in mobile OS news, mobile applications and the overall app economy.rnThe app industry continues to grow, with a  "
363				 || 			Neutral			 || 			"nullTORONTO, Prime, Minister, Justin, Trudeau, said, on, Thursday, Canada, could, start, allowing, fully, vaccinated, Americans, into, Canada, as, of, midAugust, for, nonessential, travel, and, should, be, in, a, position, to, welc"			 || 			"TORONTO Prime Minister Justin Trudeau said on Thursday Canada could start allowing fully vaccinated Americans into Canada as of midAugust for nonessential travel and should be in a position to welc "
364				 || 			Negative			 || 			"nullIn, July, 2017, Gulzira, Auelkhans, father, fell, ill, So, she, made, the, short, hop, from, her, village, in, the, windswept, Kazakhstan, countryside, into, her, native, China, to, care, for, him, Upon, arrival, in, the, western"			 || 			"In July 2017, Gulzira Auelkhans father fell ill. So she made the short hop from her village in the windswept Kazakhstan countryside into her native China to care for him. Upon arrival in the western "
365				 || 			Neutral			 || 			"nullMONCTON, N, B, rnWith, more, Canadians, getting, fully, vaccinated, people, are, starting, to, travel, again, but, there, is, a, barrier, for, those, who, have, mixed, doses, of, the, COVID19, vaccines, rnFor, months, now, N"			 || 			"MONCTON, N.B.  rnWith more Canadians getting fully vaccinated, people are starting to travel again, but there is a barrier for those who have mixed doses of the COVID19 vaccines.rnFor months now N "
366				 || 			Positive			 || 			"nullMerriamWebster, defines, hot, as, capable, of, unusual, performance, and, currently, popular, or, in, demand, and, thats, definitely, the, case, with, the, sizzling, young, musicians, featured, in, our, annualclassical"			 || 			"MerriamWebster defines hot as capable of unusual performance and currently popular or in demand, and thats definitely the case with the sizzling young musicians featured in our annualclassical "
367				 || 			Neutral			 || 			"nullThree, Maritimerstwo, athletes, and, a, coach, will, be, part, of, Canadas, athletics, teamheading, to, this, summers, Olympics, in, Tokyo, rnAthletics, Canada, and, the, Canadian, Olympic, Committee, announced, the, remai"			 || 			"Three Maritimerstwo athletes and a coach will be part of Canadas athletics teamheading to this summers Olympics in Tokyo.rnAthletics Canada and the Canadian Olympic Committee announced the remai "
368				 || 			Neutral			 || 			"nullAnd, from, a, public, relations, standpoint, seeing, employees, with, masks, sends, a, message, about, how, management, regards, the, health, of, its, customers, and, staff, Their, workers, are, serious, professionals, who, tak"			 || 			"And from a public relations standpoint, seeing employees with masks sends a message about how management regards the health of its customers and staff. Their workers are serious professionals who tak "
369				 || 			Positive			 || 			"nullThe, talent, though, well, the, talent, is, undeniable, Whatever, the, league, and, the, fans, think, of, the, product, on, the, field, nobody, questions, the, remarkable, skill, of, the, modern, player, And, as, baseball, enco"			 || 			"The talent, though well, the talent is undeniable. Whatever the league and the fans think of the product on the field, nobody questions the remarkable skill of the modern player. And as baseball enco "
370				 || 			Neutral			 || 			"nullBy, Field, Level, MediarnPinch, hitter, Jeff, McNeils, tiebreaking, tworun, double, capped, a, fourrun, sixth, inning, Sunday, afternoon, for, the, host, New, York, Mets, who, beat, the, Toronto, Blue, Jays, 54, in, the, rubb"			 || 			"By Field Level MediarnPinch hitter Jeff McNeils tiebreaking, tworun double capped a fourrun sixth inning Sunday afternoon for the host New York Mets, who beat the Toronto Blue Jays 54 in the rubb "
371				 || 			Neutral			 || 			"nullBy, Reuters, Staffrn, Canadian, dollar, falls, 0, 3, against, the, greenbackrn, Loonie, trades, in, a, range, of, 1, 2287, to, 1, 2340rn, Price, of, U, S, oil, falls, 0, 5rn, Canadian, bond, yields, ease, across, a, flatter, c"			 || 			"By Reuters Staffrn Canadian dollar falls 0.3 against the greenbackrn  Loonie trades in a range of 1.2287 to 1.2340rn  Price of U.S. oil falls 0.5rn  Canadian bond yields ease across a flatter c "
372				 || 			Neutral			 || 			"nullBy, Reuters, Staffrn, Canadian, dollar, strengthens, 0, 2, against, the, greenbackrn, Canadian, new, home, prices, rise, 0, 6, in, June, from, Mayrn, Price, of, U, S, oil, increases, 1, 7rn, Canadian, bond, yields, increa"			 || 			"By Reuters Staffrn Canadian dollar strengthens 0.2 against the greenbackrn  Canadian new home prices rise 0.6 in June from Mayrn  Price of U.S. oil increases 1.7rn  Canadian bond yields increa "
373				 || 			Neutral			 || 			"nullBy, Reuters, StaffrnJuly, 9, (Reuters), Canadas, main, stock, index, opened, higher, on, Friday, as, energy, stocks, tracked, stronger, crude, prices, while, government, data, showed, the, nation, added, more, jobs, than, exp"			 || 			"By Reuters StaffrnJuly 9 (Reuters)  Canadas main stock index opened higher on Friday, as energy stocks tracked stronger crude prices, while government data showed the nation added more jobs than exp "
374				 || 			Positive			 || 			"nullBy, Reuters, StaffrnJuly, 28, (Reuters), Canadas, main, stock, index, opened, higher, on, Wednesday, boosted, by, strong, quarterly, results, from, companies, including, ecommerce, giant, Shopify, Inc, and, retailer, Lobla"			 || 			"By Reuters StaffrnJuly 28 (Reuters)  Canadas main stock index opened higher on Wednesday, boosted by strong quarterly results from companies including ecommerce giant Shopify Inc and retailer Lobla "
375				 || 			Negative			 || 			"nullBy, Reuters, StaffrnJuly, 27, (Reuters), Canadas, main, stock, index, opened, lower, on, Tuesday, as, energy, stocks, were, dragged, down, by, weakness, in, crude, prices, while, investors, remained, on, the, sideline, ahead"			 || 			"By Reuters StaffrnJuly 27 (Reuters)  Canadas main stock index opened lower on Tuesday, as energy stocks were dragged down by weakness in crude prices, while investors remained on the sideline ahead  "
